player_name,death_sr_overall,sr_vs_ra_fast,sr_vs_la_fast,sr_vs_ra_off_spin,sr_vs_ra_leg_spin,sr_vs_la_spin,sr_vs_la_chinaman
RT Ponting,196.43,196.43,196.43,196.43,196.43,196.43,196.43
MEK Hussey,171.5,170.65,171.5,200.0,171.5,200.0,171.5
JW Wilson,130.77,130.77,130.77,130.77,130.77,130.77,130.77
SB Styris,152.86,152.86,152.86,152.86,152.86,152.86,152.86
KD Mills,119.75,119.75,119.75,119.75,119.75,119.75,119.75
AJ Strauss,113.64,113.64,113.64,113.64,113.64,113.64,113.64
PD Collingwood,194.68,194.68,194.68,194.68,194.68,194.68,194.68
MV Boucher,110.0,116.22,110.0,110.0,110.0,33.33,110.0
JA Morkel,167.46,169.85,200.0,100.0,167.46,75.0,167.46
M Ntini,90.91,90.91,90.91,90.91,90.91,90.91,90.91
JDP Oram,169.59,167.68,169.59,214.29,169.59,169.59,169.59
BB McCullum,193.45,196.25,193.45,100.0,193.45,160.0,193.45
DR Martyn,212.5,212.5,212.5,212.5,212.5,212.5,212.5
A Symonds,175.47,175.47,175.47,175.47,175.47,175.47,175.47
MJ Clarke,126.19,126.19,126.19,126.19,126.19,126.19,126.19
J Botha,132.56,130.0,132.56,166.67,132.56,132.56,132.56
S Chanderpaul,140.62,140.62,140.62,140.62,140.62,140.62,140.62
DJ Bravo,148.47,144.98,236.36,148.47,148.47,100.0,148.47
D Ramdin,148.24,147.19,160.0,148.24,200.0,100.0,148.24
JEC Franklin,133.82,133.82,133.82,133.82,133.82,133.82,133.82
SE Bond,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HH Gibbs,231.58,231.58,231.58,231.58,231.58,231.58,231.58
GC Smith,206.67,214.29,206.67,206.67,206.67,100.0,206.67
SM Pollock,156.0,156.0,156.0,156.0,156.0,156.0,156.0
JJ van der Wath,135.48,135.48,135.48,135.48,135.48,135.48,135.48
B Lee,186.36,186.36,186.36,186.36,186.36,186.36,186.36
GB Hogg,95.0,100.0,95.0,0.0,95.0,95.0,95.0
NW Bracken,68.18,68.18,68.18,68.18,68.18,68.18,68.18
MF Maharoof,52.0,52.0,52.0,52.0,52.0,52.0,52.0
CK Kapugedera,155.0,160.95,55.56,100.0,155.0,155.0,155.0
SL Malinga,90.07,95.83,33.33,0.0,40.0,125.0,200.0
CRD Fernando,77.27,80.95,77.27,77.27,77.27,0.0,77.27
JWM Dalrymple,86.36,86.36,86.36,86.36,86.36,86.36,86.36
GO Jones,127.27,127.27,127.27,127.27,127.27,127.27,127.27
ME Trescothick,208.33,208.33,208.33,208.33,208.33,208.33,208.33
TT Bresnan,139.29,143.93,40.0,139.29,139.29,139.29,139.29
MH Yardy,142.5,142.5,142.5,142.5,142.5,142.5,142.5
CMW Read,118.18,118.18,118.18,118.18,118.18,118.18,118.18
Mohammad Hafeez,170.83,171.84,150.0,170.83,50.0,250.0,170.83
Abdul Razzaq,145.05,145.76,120.0,145.05,145.05,145.05,145.05
RJ Peterson,112.12,103.57,240.0,80.0,112.12,112.12,112.12
KD Karthik,163.89,163.05,233.33,163.89,163.89,163.89,163.89
SK Raina,158.45,159.18,50.0,158.45,158.45,158.45,158.45
NJ Astle,160.0,160.0,160.0,160.0,160.0,160.0,160.0
PD McGlashan,123.53,123.53,123.53,123.53,123.53,123.53,123.53
MR Gillespie,67.86,67.86,67.86,67.86,67.86,67.86,67.86
CL White,180.45,180.45,180.45,180.45,180.45,180.45,180.45
PA Nixon,160.0,160.0,160.0,160.0,160.0,160.0,160.0
MN Samuels,148.76,148.65,133.33,148.76,50.0,175.0,166.67
DR Smith,204.35,195.24,204.35,204.35,204.35,300.0,204.35
RS Morton,103.45,103.45,103.45,103.45,103.45,103.45,103.45
DJG Sammy,153.82,151.86,230.77,153.82,153.82,80.0,153.82
R Rampaul,54.55,54.55,54.55,54.55,54.55,54.55,54.55
SCJ Broad,110.1,116.48,37.5,110.1,110.1,110.1,110.1
T Mishra,133.33,133.33,133.33,133.33,133.33,133.33,133.33
CO Obuya,154.26,154.26,154.26,154.26,154.26,154.26,154.26
JK Kamande,78.26,78.26,78.26,78.26,78.26,78.26,78.26
RL Bhudia,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LN Onyango,73.33,73.33,73.33,73.33,73.33,73.33,73.33
Alok Kapali,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Mahmudullah,138.91,142.55,77.27,140.0,127.27,70.0,138.91
Mashrafe Mortaza,124.14,126.63,124.14,50.0,124.14,0.0,124.14
Shahid Afridi,152.83,154.9,142.86,100.0,152.83,153.33,152.83
Younis Khan,152.63,152.63,152.63,152.63,152.63,152.63,152.63
Misbah-ul-Haq,136.06,136.26,136.06,136.06,136.06,128.57,136.06
Kamran Akmal,136.84,140.66,0.0,136.84,136.84,66.67,136.84
Yasir Arafat,134.04,139.53,134.04,75.0,134.04,134.04,134.04
Shoaib Akhtar,131.25,131.25,131.25,131.25,131.25,131.25,131.25
Farhad Reza,92.68,92.68,92.68,92.68,92.68,92.68,92.68
Mushfiqur Rahim,152.7,155.39,100.0,152.7,133.33,125.0,152.7
HA Varaiya,69.05,69.05,69.05,69.05,69.05,69.05,69.05
PJ Ongondo,135.71,135.71,135.71,135.71,135.71,135.71,135.71
CH Gayle,183.53,173.33,233.33,183.53,183.53,300.0,233.33
RR Sarwan,114.63,118.92,114.63,114.63,114.63,75.0,114.63
JM Kemp,192.59,195.83,192.59,192.59,192.59,166.67,192.59
BJ Haddin,126.83,127.16,126.83,100.0,126.83,126.83,126.83
BJ Hodge,128.26,133.33,128.26,75.0,128.26,128.26,128.26
MG Johnson,121.35,121.35,121.35,121.35,121.35,121.35,121.35
H Masakadza,121.7,123.71,121.7,121.7,121.7,100.0,121.7
BRM Taylor,148.78,148.78,148.78,148.78,148.78,148.78,148.78
E Chigumbura,164.29,159.4,164.29,400.0,325.0,100.0,164.29
RM Haq,64.0,64.0,64.0,64.0,64.0,64.0,64.0
JD Nel,130.0,130.0,130.0,130.0,130.0,130.0,130.0
Aftab Ahmed,140.0,140.0,140.0,140.0,140.0,140.0,140.0
Shakib Al Hasan,141.62,142.34,77.78,141.62,0.0,300.0,141.62
OA Shah,164.94,168.0,164.94,164.94,164.94,50.0,164.94
A Flintoff,125.0,125.0,125.0,125.0,125.0,125.0,125.0
AD Mascarenhas,156.92,160.0,156.92,156.92,156.92,120.0,156.92
CP Schofield,114.29,114.29,114.29,114.29,114.29,114.29,114.29
P Utseya,82.95,84.81,82.95,66.67,82.95,66.67,82.95
IK Pathan,175.93,175.93,175.93,175.93,175.93,175.93,175.93
MS Dhoni,144.77,146.3,160.0,144.77,50.0,75.0,60.0
Harbhajan Singh,130.77,130.77,130.77,130.77,130.77,130.77,130.77
AB Agarkar,136.36,136.36,136.36,136.36,136.36,136.36,136.36
S Sreesanth,142.86,142.86,142.86,142.86,142.86,142.86,142.86
DPMD Jayawardene,155.17,155.24,150.0,155.17,155.17,155.17,155.17
LPC Silva,107.69,107.69,107.69,107.69,107.69,107.69,107.69
TM Dilshan,172.96,173.72,172.96,172.96,172.96,133.33,172.96
J Mubarak,160.24,163.75,160.24,160.24,160.24,66.67,160.24
AA Obanda,96.97,96.97,96.97,96.97,96.97,96.97,96.97
LRPL Taylor,146.71,148.87,188.89,37.5,91.67,161.54,146.71
