player_name,death_eco_overall,eco_vs_rhb,eco_vs_lhb
CL Cairns,7.33,7.33,7.33
AR Adams,14.5,14.5,14.5
DR Tuffey,15.5,15.5,15.5
MJ Clarke,8.8,8.8,8.8
A Symonds,10.96,10.96,10.96
GD McGrath,10.75,10.75,10.75
B Lee,7.34,7.34,7.34
JN Gillespie,12.46,12.46,12.46
NJ Astle,10.0,10.0,10.0
JS Patel,9.2,9.2,9.2
SE Bond,6.84,6.84,6.84
JA Morkel,8.82,8.82,8.82
CK Langeveldt,8.74,8.74,8.74
J Botha,7.33,7.33,7.33
AJ Hall,8.21,8.21,8.21
JR Hopes,14.75,14.75,14.75
ML Lewis,7.6,7.6,7.6
DR Smith,9.27,9.27,9.27
CH Gayle,7.59,7.59,7.59
GB Hogg,10.54,10.54,10.54
SR Watson,8.14,8.14,8.14
NW Bracken,9.49,9.49,9.49
JJ van der Wath,8.43,8.43,8.43
R Telemachus,11.08,11.08,11.08
M Ntini,10.8,10.8,10.8
LE Plunkett,7.86,7.86,7.86
SI Mahmood,6.0,6.0,6.0
ST Jayasuriya,8.0,8.0,8.0
TM Dilshan,7.33,7.33,7.33
SL Malinga,8.16,8.16,8.16
CRD Fernando,9.3,9.3,9.3
Shahid Afridi,8.74,8.74,8.74
Abdul Razzaq,10.22,10.22,10.22
Naved-ul-Hasan,3.69,3.69,3.69
Shoaib Akhtar,11.63,11.63,11.63
D Gough,8.5,8.5,8.5
PD Collingwood,12.24,12.24,12.24
S Sreesanth,12.52,12.52,12.52
Harbhajan Singh,7.77,7.77,7.77
IK Pathan,10.06,10.06,10.06
RJ Peterson,7.32,7.32,7.32
LPC Silva,6.0,6.0,6.0
PDRL Perera,11.0,11.0,11.0
A Flintoff,8.79,8.79,8.79
JM Anderson,8.1,8.1,8.1
CL White,5.5,5.5,5.5
SM Harwood,10.0,10.0,10.0
RJ Sidebottom,7.85,7.85,7.85
SCJ Broad,8.82,8.82,8.82
MN Samuels,9.94,9.94,9.94
DJG Sammy,8.39,8.39,8.39
R Rampaul,10.7,10.7,10.7
DJ Bravo,8.78,8.78,8.78
Mohammad Ashraful,15.2,15.2,15.2
Farhad Reza,10.96,10.96,10.96
Abdur Razzak,7.84,7.84,7.84
Mashrafe Mortaza,10.84,10.84,10.84
PJ Ongondo,11.0,11.0,11.0
TM Odoyo,4.56,4.56,4.56
Iftikhar Anjum,4.33,4.33,4.33
Mohammad Asif,8.57,8.57,8.57
Younis Khan,6.75,6.75,6.75
Mohammad Hafeez,9.11,9.11,9.11
M Morkel,8.45,8.45,8.45
VD Philander,6.48,6.48,6.48
FH Edwards,8.11,8.11,8.11
P Utseya,7.68,7.68,7.68
GB Brent,9.0,9.0,9.0
E Chigumbura,8.13,8.13,8.13
MG Johnson,8.51,8.51,8.51
RM Haq,9.0,9.0,9.0
DR Brown,12.0,12.0,12.0
JD Nel,6.33,6.33,6.33
Yasir Arafat,7.06,7.06,7.06
Umar Gul,7.75,7.75,7.75
Shoaib Malik,4.72,4.72,4.72
DL Vettori,6.39,6.39,6.39
MR Gillespie,7.94,7.94,7.94
Shakib Al Hasan,8.64,8.64,8.64
CJ Chibhabha,10.26,10.26,10.26
SR Clark,5.75,5.75,5.75
AB Agarkar,13.25,13.25,13.25
LN Onyango,16.33,16.33,16.33
NN Odhiambo,9.66,9.66,9.66
JK Kamande,3.75,3.75,3.75
G Wijekoon,8.2,8.2,8.2
JDP Oram,9.59,9.59,9.59
SM Pollock,9.6,9.6,9.6
Yuvraj Singh,8.65,8.65,8.65
RP Singh,4.92,4.92,4.92
Sohail Tanvir,8.48,8.48,8.48
DL Maddy,8.0,8.0,8.0
Joginder Sharma,10.96,10.96,10.96
Mahmudullah,8.7,8.7,8.7
SB Styris,6.44,6.44,6.44
BW Hilfenhaus,4.92,4.92,4.92
DW Steyn,7.34,7.34,7.34
KD Mills,9.73,9.73,9.73
AA Noffke,5.2,5.2,5.2
TG Southee,9.06,9.06,9.06
LJ Wright,8.66,8.66,8.66
JD Ryder,8.33,8.33,8.33
GP Swann,7.6,7.6,7.6
Shahadat Hossain,13.68,13.68,13.68
GD Drummond,9.21,9.21,9.21
IH Romaine,7.8,7.8,7.8
E Schiferli,7.0,7.0,7.0
RN ten Doeschate,7.53,7.53,7.53
Mudassar Bukhari,8.38,8.38,8.38
AC Botha,7.25,7.25,7.25
DT Johnston,8.78,8.78,8.78
WK McCallan,8.8,8.8,8.8
AO Suji,12.46,12.46,12.46
Fawad Alam,7.33,7.33,7.33
KMDN Kulasekara,9.33,9.33,9.33
T Thushara,6.96,6.96,6.96
BAW Mendis,7.45,7.45,7.45
JE Taylor,9.02,9.02,9.02
KA Pollard,9.68,9.68,9.68
SJ Benn,10.55,10.55,10.55
DJ Hussey,8.65,8.65,8.65
SW Tait,6.87,6.87,6.87
WD Parnell,8.35,8.35,8.35
I Sharma,10.9,10.9,10.9
Z Khan,8.59,8.59,8.59
NL McCullum,8.37,8.37,8.37
IG Butler,9.46,9.46,9.46
IE O'Brien,11.5,11.5,11.5
YK Pathan,12.0,12.0,12.0
A Khan,9.19,9.19,9.19
B Laughlin,15.1,15.1,15.1
RE van der Merwe,7.34,7.34,7.34
J Louw,8.77,8.77,8.77
Saeed Ajmal,7.31,7.31,7.31
PW Borren,6.71,6.71,6.71
PM Seelaar,8.84,8.84,8.84
DP Nannes,9.04,9.04,9.04
AU Rashid,8.8,8.8,8.8
Naeem Islam,11.5,11.5,11.5
Rubel Hossain,11.73,11.73,11.73
CS MacLeod,10.33,10.33,10.33
RM West,9.5,9.5,9.5
AR Cusack,8.17,8.17,8.17
WB Rankin,6.52,6.52,6.52
M Muralitharan,8.0,8.0,8.0
I Udana,9.44,9.44,9.44
RA Jadeja,8.11,8.11,8.11
Mohammad Amir,8.0,8.0,8.0
KAJ Roach,8.29,8.29,8.29
AD Mathews,11.34,11.34,11.34
JEC Franklin,8.79,8.79,8.79
R McLaren,8.35,8.35,8.35
TT Bresnan,10.1,10.1,10.1
AB Dinda,6.73,6.73,6.73
A Nehra,9.24,9.24,9.24
M Pushpakumara,11.0,11.0,11.0
SPD Smith,10.92,10.92,10.92
HS Baidwan,8.93,8.93,8.93
HA Varaiya,3.6,3.6,3.6
RD Berrington,7.66,7.66,7.66
KJ Coetzer,5.5,5.5,5.5
GH Dockrell,7.01,7.01,7.01
KJ O'Brien,8.19,8.19,8.19
A Shahzad,13.89,13.89,13.89
RJ Harris,11.25,11.25,11.25
DT Christian,9.79,9.79,9.79
GA Lamb,7.85,7.85,7.85
AG Cremer,5.12,5.12,5.12
SW Masakadza,11.4,11.4,11.4
UWMBCA Welegedara,13.0,13.0,13.0
Shafiul Islam,8.86,8.86,8.86
Mohammad Sami,9.88,9.88,9.88
RK Kleinveldt,10.59,10.59,10.59
PP Chawla,7.4,7.4,7.4
CB Mpofu,10.27,10.27,10.27
RW Price,7.0,7.0,7.0
MH Yardy,6.83,6.83,6.83
NLTC Perera,10.48,10.48,10.48
R Vinay Kumar,9.6,9.6,9.6
AJ McKay,6.0,6.0,6.0
RJ Nicol,7.41,7.41,7.41
R Ashwin,7.46,7.46,7.46
TL Chatara,8.98,8.98,8.98
SNJ O'Keefe,10.33,10.33,10.33
J Theron,7.8,7.8,7.8
LL Tsotsobe,5.35,5.35,5.35
S Randiv,6.0,6.0,6.0
CJ McKay,7.88,7.88,7.88
AF Milne,9.43,9.43,9.43
Wahab Riaz,9.01,9.01,9.01
D Bishoo,7.36,7.36,7.36
AR Nurse,11.75,11.75,11.75
AD Russell,9.76,9.76,9.76
CD Barnwell,12.0,12.0,12.0
P Kumar,7.0,7.0,7.0
MM Patel,6.33,6.33,6.33
RAS Lakmal,11.67,11.67,11.67
CR Woakes,12.53,12.53,12.53
RS Bopara,6.87,6.87,6.87
JW Hastings,10.73,10.73,10.73
BMAJ Mendis,9.6,9.6,9.6
JW Dernbach,9.9,9.9,9.9
KM Jarvis,10.34,10.34,10.34
Sohail Khan,12.72,12.72,12.72
CR Brathwaite,9.77,9.77,9.77
DE Bollinger,8.0,8.0,8.0
PJ Cummins,7.79,7.79,7.79
JP Duminy,8.52,8.52,8.52
DAJ Bracewell,10.26,10.26,10.26
SK Raina,8.88,8.88,8.88
V Kohli,9.23,9.23,9.23
Aizaz Cheema,7.25,7.25,7.25
Alok Kapali,4.15,4.15,4.15
R Sharma,10.7,10.7,10.7
JP Faulkner,9.7,9.7,9.7
XJ Doherty,12.0,12.0,12.0
MR Marsh,6.61,6.61,6.61
RM Hira,8.4,8.4,8.4
MD Bates,16.0,16.0,16.0
M de Lange,9.45,9.45,9.45
MC Sorensen,8.91,8.91,8.91
SO Ngoche,7.78,7.78,7.78
SR Patel,10.0,10.0,10.0
ST Finn,8.6,8.6,8.6
Junaid Khan,8.17,8.17,8.17
JF Mooney,8.83,8.83,8.83
CO Obuya,6.66,6.66,6.66
NM Odhiambo,8.69,8.69,8.69
JO Ngoche,5.0,5.0,5.0
PR Stirling,8.36,8.36,8.36
Junaid Siddiqui,9.36,9.36,9.36
Rizwan Cheema,9.25,9.25,9.25
Ahsan Malik,9.51,9.51,9.51
SM Sharif,9.48,9.48,9.48
AS Hansra,5.29,5.29,5.29
TLW Cooper,7.5,7.5,7.5
SP Narine,6.25,6.25,6.25
SMSM Senanayake,8.3,8.3,8.3
AM Ellis,11.33,11.33,11.33
Abul Hasan,13.5,13.5,13.5
MR Swart,12.2,12.2,12.2
