stadium_name,avg_boundary_min
"Narendra Modi Stadium, Ahmedabad",75
"Wankhede Stadium, Mumbai",68
"Eden Gardens, Kolkata",72
"M.Chinnaswamy Stadium, Bengaluru",64
"MA Chidambaram Stadium, Chepauk, Chennai",68
"Arun Jaitley Stadium, Delhi",66
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",70
Dubai International Cricket Stadium,72
"Sheikh Zayed Stadium, Abu Dhabi",74
Sharjah Cricket Stadium,65
Melbourne Cricket Ground,84
Adelaide Oval,72
Perth Stadium,75
"The Gabba, Brisbane",76
"Bellerive Oval, Hobart",70
"Old Trafford, Manchester",72
"Edgbaston, Birmingham",70
"Trent Bridge, Nottingham",68
"Sophia Gardens, Cardiff",72
"Gaddafi Stadium, Lahore",70
"National Stadium, Karachi",72
Pallekele International Cricket Stadium,70
"R.Premadasa Stadium, Khettarama, Colombo",72
"Shere Bangla National Stadium, Mirpur",70
"Wanderers Stadium, Johannesburg",70
"Kingsmead, Durban",72
"Centurion Park, Centurion",72
"Sabina Park, Kingston, Jamaica",70
"Kensington Oval, Bridgetown, Barbados",72
"Daren Sammy National Cricket Stadium, St Lucia",72
stadium_name,avg_boundary_min
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),65
Gahanga International Cricket Stadium. Rwanda,60
"Gahanga International Cricket Stadium, Rwanda",60
Marsa Sports Club,58
Harare Sports Club,70
Integrated Polytechnic Regional Centre,58
Sheikh Zayed Stadium,74
Shere Bangla National Stadium,70
"Desert Springs Cricket Ground, Almeria",64
Kerava National Cricket Ground,62
"Terdthai Cricket Ground, Bangkok",60
"West End Park International Cricket Stadium, Doha",70
"Tribhuvan University International Cricket Ground, Kirtipur",68
R Premadasa Stadium,72
New Wanderers Stadium,70
